hekayt,bab
"پادشاهی را شنیدم به کُشتنِ اسیری اشارت کرد. بیچاره در آن حالتِ نومیدی مَلِک را دشنام دادن گرفت و سَقَط گفتن، که گفته‌اند: هر که دست از جان بشوید، هر چه در دل دارد بگوید. وقتِ ضرورت چو نَمانَد گریز
دست بگیرَد سَرِ شَمشیرِ تیز إِذا یَئِسَ الْإِنسانُ طالَ لِسانُهُ
کَسِنَّورٍ مَغْلُوبٍ یَصُولُ عَلَی الْکلبِ مَلِک پرسید: «چه می‌گوید؟» یکی از وزرایِ نیک‌مَحضر گفت: «ای خداوند! همی گوید: وَ الْکاظِمِینَ الغَیْظَ وَ الْعافِینَ عَنِ النّاسِ». مَلِک را رحمت آمد و از سَرِ خونِ او درگذشت. وزیرِ دیگر که ضدّ او بود گفت: «ابنای جنسِ ما را نشاید در حضرتِ پادشاهان جز به راستی سخن گفتن. این مَلِک را دشنام داد و ناسزا گفت». مَلِک روی از این سخن در هم آورد و گفت: «آن دروغِ وی پسندیده‌تر آمد مَرا زین راست که تو گفتی، که رویِ آن در مصلحتی بود و بنایِ این بر خُبْثی». و خردمندان گفته‌اند: «دروغی مصلحت‌آمیز بِهْ که راستی فتنه‌انگیز». هر که شاه آن کُنَد که او گوید
حیف باشد که جز نِکو گوید بَر طاقِ ایوانِ فریدون نِبِشته بود: جَهان اِی بَرادَر نَمانَد به کَس
دِل اَندَر جَهان‌آفرین بَند و بَس مَکن تکیه بَر مُلْکِ دنیا و پُشت
که بسیار کَس چون تو پَروَرْد و کُشت چو آهنگِ رَفتن کُنَد جانِ پاک
چه بَر تَخت مُردنْ، چه بَر رویِ خاک",1
"یکی از ملوکِ خراسان محمودِ سبکتگین را به خواب چنان دید که جمله وجود او ریخته بود و خاک شده مگر چشمان او که همچنان در چشم‌خانه همی‌گردید و نظر می‌کرد. سایر حکما از تأویل این فروماندند مگر درویشی که به جای آورد و گفت: هنوز نگران است که مُلکش با دگران است. بس نامور به زیر زمین دفن کرده‌اند 
کز هستی‌اش به رویِ زمین بر، نشان نماند وآنْ پیرْ لاشه را که سپردند زیر گِل 
خاکش چنان بخورد کزو استخوان نماند زنده‌ست نام فَرّخِ نوشین‌روان به خیر 
گرچه بسی گذشت که نوشین‌روان نماند خیری کن ای فلان و غنیمت شمار عمر 
زآن پیشتر که بانگ بر آید: فلان نماند",1
"ملک‌زاده‌ای را شنیدم که کوتاه بود و حقیر و دیگر برادران بلند و خوب‌روی، باری پدر به کراهت و استحقار درو نظر می‌کرد، پسر به فراست و استبصار به جای آورد و گفت: ای پدر کوتاهِ خردمند بِه که نادانِ بلند. نه هر چه به قامت مهتر به قیمت بهتر. اَلشَّاةُ نَظِیفَةٌ وَ الْفِیلُ جِیفَةٌ. اَقَلُّ جِبالِ الارْضِ طُورٌ و اِنَّهُ
لاَعْظَمُ عِندَاللهِ قَدْرَاً وَ مَنْزِلا آن شنیدی که لاغری دانا
گفت باری، به ابلهی فربه: اسبِ تازی و گر ضعیف بود
همچنان از طویله‌ٔ خر به پدر بخندید و ارکانِ دولت پسندیدند و برادران به‌جان برنجیدند. تا مرد سخن نگفته باشد
عیب و هنرش نهفته باشد هر پیسه گمان مبر نِهالی
باشد که پلنگ خفته باشد شنیدم که ملِک را در آن قُرب دشمنی صَعب روی نمود چون لشکر از هر دو طرف روی در هم آوردند اول کسی که به میدان در آمد این پسر بود، گفت: آن نه من باشم که روزِ جنگ بینی پشت من
آن منم گر در میانِ خاک و خون بینی سری کانکه جنگ آرد، به خون خویش بازی می‌کند
روزِ میدان و آن که بگریزد به خونِ لشکری این بگفت و بر سپاه دشمن زد و تنی چند مردانِ کاری بینداخت چون پیشِ پدر آمد زمینِ خدمت ببوسید و گفت: ای که شخصِ مَنَت حقیر نمود
تا درشتی هنر نپنداری اسب لاغرمیان به کار آید
روزِ میدان، نه گاوِ پرواری آورده‌اند که سپاهِ دشمن بسیار بود و اینان اندک. جماعتی آهنگِ گریز کردند. پسر نعره زد و گفت: ای مردان بکوشید یا جامهٔ زنان بپوشید! سواران را به گفتنِ او تهوّر زیادت گشت و به‌یک‌بار حمله آوردند. شنیدم که هم در آن روز بر دشمن ظفر یافتند مَلِک سر و چشمش ببوسید و در کنار گرفت و هر روز نظر بیش کرد تا ولیعهدِ خویش کرد. برادران حسد بردند و زهر در طعامش کردند. خواهر از غرفه بدید دریچه بر هم زد، پسر دریافت و دست از طعام کشید و گفت: محالست که هنرمندان بمیرند و بی‌هنران جای ایشان بگیرند. کس نیاید به زیرِ سایهٔ بوم
ور همای از جهان شود معدوم پدر را از این حال آگهی دادند. برادرانش را بخواند و گوشمالی به‌واجب بداد. پس هر یکی را از اطرافِ بلاد حِصّه معین کرد، تا فتنه بنشست و نزاع برخاست، که ده درویش در گلیمی بخسبند و دو پادشاه در اقلیمی نگنجند. نیم‌نانی گر خورد مردِ خدا
بذلِ درویشان کند نیمی دگر ملکِ اقلیمی بگیرد پادشاه
همچنان در بندِ اقلیمی دگر",1
"طایفهٔ دزدانِ عرب بر سرِ کوهی نشسته بودند و منفذِ کاروان بسته، و رعیّتِ بُلْدان از مَکایدِ ایشان مرعوب و لشکرِ سلطان مغلوب. به‌حکمِ آنکه مَلاذی مَنیع از قلّهٔ کوهی گرفته بودند و مَلجأ و مأوای خود ساخته. مدبّرانِ ممالک آن طرف در دفعِ مضرّت ایشان مشاورت همی‌کردند که اگر این طایفه هم برین نَسَق روزگاری مداومت نمایند مقاومت ممتنع گردد. درختی که اکنون گرفته‌ست پای 
به نیرویِ شخصی برآید ز جای و گر همچنان روزگاری هِلی 
به گردونش از بیخ، بر نگسلی سرِ چشمه شایَد گرفتن به بیل 
چو پُر شد نشاید گذشتن به پیل سخن بر این مقرّر شد که یکی به تجسّسِ ایشان برگماشتند و فرصت نگاه می‌داشتند تا وقتی که بر سر قومی رانده بودند و مقام خالی مانده. تنی چند مردان واقعه‌دیدهٔ جنگ‌آزموده را بفرستادند تا در شِعْبِ جبل پنهان شدند. شبانگاهی که دزدان باز آمدند، سفرکرده و غارت‌آورده، سلاح از تن بگشادند و رخت و غنیمت بنهادند. نخستین دشمنی که بر سر ایشان تاختن آورد خواب بود. چندان که پاسی از شب در گذشت، قرصِ خورشید در سیاهی شد 
یونس اندر دهانِ ماهی شد مردانِ دلاور از کمین به در جستند و دستِ یکان‌یکان بر کِتف بستند و بامدادان به درگاه ملک حاضر آوردند. همه را به کشتن اشارت فرمود. اتفاقاً در آن میان جوانی بود میوهٔ عنفوانِ شبابش نورسیده و سبزهٔ گلستانِ عذارش نودمیده. یکی از وزرا پایِ تختِ ملک را بوسه داد و رویِ شفاعت بر زمین نهاد و گفت: این پسر هنوز از باغِ زندگانی بر نخورده و از رَیَعانِ جوانی تمتع نیافته. توقّع به کرم و اخلاق خداوندی‌ست که به بخشیدنِ خون او بر بنده منّت نهد. ملک روی از این سخن در هم کشید و موافقِ رایِ بلندش نیامد و گفت: پرتوِ نیکان نگیرد هر که بنیادش بد است 
تربیت نااهل را چون گِردِکان بر گنبد است نسلِ فسادِ اینان منقطع کردن اولی‌تر است و بیخِ تبارِ ایشان بر آوردن، که آتش نشاندن و اَخگَر گذاشتن و افعی کشتن و بچه نگه‌داشتن کارِ خردمندان نیست. ابر اگر آبِ زندگی بارد 
هرگز از شاخِ بید بَر نخوری با فرومایه روزگار مبر 
کز نیِ بوریا شِکَر نخوری وزیر این سخن بشنید. طَوْعاً و کُرهاً بپسندید و بر حسنِ رایِ ملک آفرین خواند و گفت: آنچه خداوند، دامَ‌مُلکُهُ، فرمود عینِ حقیقت است که اگر در صحبتِ آن بَدان تربیت یافتی طبیعتِ ایشان گرفتی و یکی از ایشان شدی، امّا بنده امیدوار است که در صحبتِ صالحان تربیت پذیرد و خویِ خردمندان گیرد که هنوز طفل است و سیرت بَغْی و عِناد در نهادِ او متمکّن نشده و در خبر است: کُلُّ مولودٍ یُولَدُ عَلَی الْفِطْرَةِ فَأبَواهُ یُهَوِّدانِهِ و یُنَصِّرانِهِ و یُمَجِّسانِهِ. با بدان یار گشت همسرِ لوط 
خاندان نبوّتش گم شد سگِ اصحابِ کهف روزی چند 
پیِ نیکان گرفت و مردم شد این بگفت و طایفه‌ای از ندمایِ ملک با وی به شفاعت یار شدند تا ملک از سرِ خونِ او درگذشت و گفت: بخشیدم، اگرچه مصلحت ندیدم. دانی که چه گفت زال با رستمِ گرد؟
دشمن نتوان حقیر و بیچاره شمرد دیدیم بسی، که آبِ سرچشمهٔ خرد 
چون بیشتر آمد شتر و بار ببرد فی‌الجمله، پسر را به ناز و نعمت بر آوردند و استادان به تربیتِ او نصب کردند تا حسنِ خِطاب و ردِّ جواب و آدابِ خدمتِ ملوکش در آموختند و در نظرِ همگِنان پسندیده آمد. باری، وزیر از شمایلِ او در حضرتِ ملک شمّه‌ای می‌گفت که تربیتِ عاقلان در او اثر کرده است و جهلِ قدیم از جِبِلّتِ او به در برده. ملک را تبسّم آمد و گفت: عاقبت گرگ‌زاده گرگ شود 
گرچه با آدمی بزرگ شود سالی دو بر این بر آمد. طایفهٔ اوباشِ محلّت بدو پیوستند و عقدِ موافقت بستند تا به وقتِ فرصت وزیر و هر دو پسرش را بکشت و نعمت بی‌قیاس برداشت و در مَغارهٔ دزدان به جایِ پدر بنشست و عاصی شد. ملک دستِ تحیّر به دندان گزیدن گرفت و گفت: شمشیرِ نیک از آهنِ بد چون کند کسی؟
ناکس به تربیت نشود ای حکیم کس باران که در لطافتِ طبعش خِلاف نیست 
در باغ لاله روید و در شوره‌بوم خَس زمینِ شوره سنبل بر نیارد 
در او تخم و عمل ضایع مگردان نکویی با بَدان کردن چنان است 
که بَد کردن به جایِ نیک‌مردان",1
"سرهنگ‌زاده‌ای را بر در سرایِ اُغْلُمُش دیدم که عقل و کِیاستی و فهم و فِراستی زاید‌الوصف داشت، هم از عهدِ خُردی آثارِ بزرگی در ناصیهٔ او پیدا. بالایِ سرش ز هوشمندی 
می‌تافت ستارهٔ بلندی فی‌الجمله مقبولِ نظرِ سلطان آمد که جَمالِ صورت و معنی داشت و خردمندان گفته‌اند: «توانگری به هنر است نه به مال و بزرگی به عقل نه به سال». ابنایِ جنسِ او بر منصبِ او حسد بردند و به خیانتی متّهم کردند و در کشتنِ او سعی بی‌فایده نمودند. دشمن چه زند چو مهربان باشد دوست؟ مَلِک پرسید که موجبِ خصمیِ اینان در حقِّ تو چیست؟ گفت: در سایهٔ دولتِ خداوندی دامَ مُلْکُهُ همگنان را راضی کردم مگر حسود را که راضی نمی‌شود الّا به زوالِ نعمتِ من و اقبال و دولتِ خداوند باد. توانم آنکه نیازارم اندرونِ کسی
حسود را چه کنم؟ کو ز خود به رنج در است بمیر تا برهی ای حسود کاین رنجی‌ست
که از مشقّتِ آن جز به مرگ نَتْوان رست شوربختان به آرزو خواهند 
مُقبلان را زوال نعمت و جاه گر نبیند به روز شَپّره چشم 
چشمهٔ آفتاب را چه گناه؟ راست خواهی، هزار چشمِ چنان 
کور بهتر که آفتابْ سیاه",1
"یکی را از ملوک عجم حکایت کنند که دستِ تطاول به مال رعیّت دراز کرده بود و جور و اذیّت آغاز کرده. تا به جایی که خلق از مَکایدِ فعلش به جهان برفتند و از کُرْبَتِ جورش راهِ غربت گرفتند. چون رعیّت کم شد، ارتفاعِ ولایت نقصان پذیرفت و خزانه تهی ماند و دشمنان زور آوردند. هر که فریاد‌رسِ روز مصیبت خواهد 
گو در ایّامِ سلامت به جوانمردی کوش بندهٔ حلقه‌ به‌ گوش اَر ننوازی بِرَوَد 
لطف کن لطف، که بیگانه شود حلقه‌ به‌ گوش باری، به مجلس او در، کتاب شاهنامه همی‌خواندند در زوالِ مملکتِ ضحّاک و عهدِ فریدون. وزیر ملک را پرسید: هیچ توان دانستن که فریدون که گنج و ملک و حشم نداشت چگونه بر او مملکت مقرر شد؟ گفت: آن چنان که شنیدی خلقی بر او به تعصّب گرد آمدند و تقویت کردند و پادشاهی یافت. گفت: ای مَلِک! چو گرد آمدن خلقی موجبِ پادشاهیست تو مَر خلق را پریشان برای چه می‌کنی؟ مگر سرِ پادشاهی کردن نداری؟ همان به که لشکر به‌ جان پروری 
که سلطان به لشکر کند سروری ملک گفت: موجب گرد آمدن سپاه و رعیّت چه باشد؟ گفت: پادشه را کَرَم باید تا بر او گرد آیند و رحمت، تا در پناه دولتش ایمن نشینند و ترا این هر دو نیست. نکند جورپیشه سلطانی 
که نیاید ز گرگ چوپانی پادشاهی که طرحِ ظلم افکند 
پایِ دیوارِ مُلکِ خویش بکنْد ملک را پندِ وزیرِ ناصح، موافقِ طبعِ مخالف نیامد؛ روی از این سخن در هم کشید و به زندانش فرستاد. بسی بر نیامد که بنی‌عمّ ِ سلطان به منازعت خاستند و مُلک پدر خواستند، قومی که از دستِ تطاولِ او به‌ جان آمده بودند و پریشان شده، بر ایشان گرد آمدند و تقویت کردند تا مُلک از تصرّفِ این به در رفت و بر آنان مقرّر شد. پادشاهی کاو روا دارد ستم بر زیردست 
دوستدارش روزِ سختی دشمن زورآورست با رعیّت صلح کن وز جنگِ خصمْ ایمن نشین 
زان که شاهنشاهِ عادل را رعیّت لشکرست",1
"پادشاهی با غلامی عَجَمی در کشتی نشست و غلام، دیگر دریا را ندیده بود و محنت کشتی نیازموده. گریه و زاری درنهاد و لرزه بر اندامش اوفتاد. چندان که ملاطفت کردند آرام نمی‌گرفت و عیشِ مَلِک از او مُنَغَّص بود. چاره ندانستند. حکیمی در آن کشتی بود، ملک را گفت: اگر فرمان دهی، من او را به طریقی خامُش گردانم. گفت: غایتِ لطف و کرم باشد. بفرمود تا غلام به دریا انداختند. باری چند غوطه خورد، مویَش گرفتند و پیشِ کشتی آوردند. به دو دست در سُکّانِ کشتی آویخت. چون برآمد به گوشه‌ای بنشست و قرار یافت. ملک را عجب آمد؛ پرسید: در این چه حکمت بود؟ گفت: از اوّل محنتِ غرقه شدن ناچشیده بود و قدرِ سلامتِ کشتی نمی‌دانست. همچنین قدرِ عافیت کسی داند که به مصیبتی گرفتار آید. ای سیر تو را نانِ جُوین خوش ننماید 
معشوقِ من است آن که به نزدیکِ تو زشت است حورانِ بهشتی را دوزخ بود اَعراف 
از دوزخیان پرس که اَعراف بهشت است فرق است میانِ آن که یارش در بر 
تا آن که دو چشمِ انتظارش بر در",1
"هرمز را گفتند: وزیرانِ پدر را چه خطا دیدی که بند فرمودی؟ گفت: خطایی معلوم نکردم و لیکن دیدم که مَهابتِ من در دلِ ایشان، بی‌کران است و بر عهدِ من اعتمادِ کلّی ندارند. ترسیدم از بیمِ گزندِ خویش آهنگِ هلاکِ من کنند پس قولِ حکما را کار بستم که گفته‌اند: از آن کز تو ترسد بترس ای حکیم
وگر با چون او صد برآیی به جنگ از آن مار بر پایِ راعی زند
که ترسد سرش را بکوبد به سنگ نبینی که چون گربه عاجز شود
برآرد به چنگال چشمِ پلنگ؟",1
"یکی از ملوکِ عرب رنجور بود در حالتِ پیری و امیدِ زندگانی قطع کرده، که سواری از در درآمد و بشارت داد که فلان قلعه را به دولتِ خداوند گشادیم و دشمنان اسیر آمدند و سپاه و رعیّتِ آن طرف به جملگی مطیعِ فرمان گشتند؛ ملک نفسی سرد بر آورد و گفت: این مژده مرا نیست دشمنانم راست یعنی وارثانِ مملکت. بدین امید به سر شد، دریغ، عمرِ عزیز 
که آنچه در دلم است از دَرَم فراز آید امیدِ بسته بر آمد ولی چه فایده زانک 
امید نیست که عمرِ گذشته باز آید کوسِ رحلت بکوفت دستِ اجل 
ای دو چشمم وداعِ سر بکنید ای کفِ دست و ساعد و بازو 
همهْ تودیعِ یکدگر بکنید بر منِ اوفتاده دشمن‌کام 
آخَر ای دوستان گذر بکنید روزگارم بشد به نادانی 
من نکردم، شما حذر بکنید",1
"بر بالینِ تربتِ یحیی، پیغامبر -عَلَیْهِ‌ السّلامُ- معتکف بودم در جامع دمشق که یکی از ملوکِ عرب که به بی‌انصافی منسوب بود، اتّفاقاً به زیارت آمد و نماز و دعا کرد و حاجت خواست. درویش و غنی بندهٔ این خاک درند
و آنان که غنی‌ترند محتاج‌ترند آن گه مرا گفت: از آن جا که همّتِ درویشان است و صدقِ معاملت ایشان، خاطری همراه من کنید که از دشمنی صعب، اندیشناکم. گفتمش: بر رعیّتِ ضعیف رحمت کن تا از دشمنِ قوی زحمت نبینی. به بازوانِ توانا و قوّتِ سرِ دست
خطاست پنجهٔ مسکینِ ناتوان بشکست نترسد آن که بر افتادگان نبخشاید؟
که گر ز پای در آید کسش نگیرد دست؟ هر آن که تخمِ بدی کشت و چشمِ نیکی داشت
دِماغِ بیهده پخت و خیالِ باطل بست ز گوش پنبه برون آر و دادِ خلق بده
وگر تو می‌ندهی داد، روزِ دادی هست! بنی آدم اعضایِ یکدیگرند
که در آفرینش ز یک گوهرند چو عضوی به درد آورد روزگار
دگر عضوها را نماند قرار تو کز محنتِ دیگران بی‌غمی
نشاید که نامت نهند آدمی",1
